WBGeneID,Sequence.name,tissue
WBGene00007853,C31G12.4,reproductive-system
WBGene00007862,kvs-2,nervous-system
WBGene00007864,irg-6,intestine
WBGene00007868,C32H11.5,nervous-system
WBGene00007869,C32H11.6,epithelial-system
WBGene00007872,C32H11.9,intestine
WBGene00007881,nlp-35,nervous-system
WBGene00007883,C33A12.4,nervous-system
WBGene00007885,ugt-21,intestine
WBGene00007887,gadr-2,reproductive-system
WBGene00007893,C33B4.5,nervous-system
WBGene00007894,C33D3.3,nervous-system
WBGene00007895,C33D3.4,nervous-system
WBGene00007896,C33D3.5,nervous-system
WBGene00007899,C33D9.5,nervous-system
WBGene00007901,C33D9.8,nervous-system
WBGene00007902,C33D9.9,coelomic-system
WBGene00007905,C33G3.5,reproductive-system
WBGene00007909,C34B4.4,nervous-system
WBGene00007917,chdh-1,reproductive-system
WBGene00007919,cup-16,nervous-system
WBGene00007921,C34C12.2,reproductive-system
WBGene00007931,C34D1.4,nervous-system
WBGene00007933,C34E7.3,nervous-system
WBGene00007935,C34E11.2,nervous-system
WBGene00007937,C34E11.4,intestine
WBGene00007941,C34F6.7,nervous-system
WBGene00007948,C35A5.4,reproductive-system
WBGene00007952,C35A5.8,reproductive-system
WBGene00007953,hda-11,nervous-system
WBGene00007965,C36A4.4,reproductive-system
WBGene00007973,C36B1.6,intestine
WBGene00007976,C36B1.9,nervous-system
WBGene00007978,C36B1.11,reproductive-system
WBGene00007981,glb-11,nervous-system
WBGene00007983,C36E8.4,nervous-system
WBGene00007991,C37A5.7,reproductive-system
WBGene00007994,C37E2.2,epithelial-system
WBGene00007997,sre-13,nervous-system
WBGene00007998,C38C6.5,nervous-system
WBGene00008002,nlp-48,nervous-system
WBGene00008007,C38D4.7,reproductive-system
WBGene00008009,fbxa-171,nervous-system
WBGene00008013,C38D9.5,reproductive-system
WBGene00008016,C38D9.8,epithelial-system
WBGene00008017,fbxa-176,intestine
WBGene00008018,tbc-8,nervous-system
WBGene00008020,C38H2.3,nervous-system
WBGene00008021,C39B10.1,nervous-system
WBGene00008022,lgc-41,nervous-system
WBGene00008025,C39B10.5,nervous-system
WBGene00008028,scl-6,intestine
WBGene00008030,scl-8,reproductive-system
WBGene00008033,spin-2,nervous-system
WBGene00008035,C39E9.12,reproductive-system
WBGene00008038,C40H1.2,intestine
WBGene00008039,C40H1.3,nervous-system
WBGene00008045,C40H5.2,nervous-system
WBGene00008051,lron-4,nervous-system
WBGene00008055,cyp-34A3,nervous-system
WBGene00008059,C41G6.13,epithelial-system
WBGene00008062,set-32,reproductive-system
WBGene00008068,sdz-6,intestine
WBGene00008070,C43D7.8,reproductive-system
WBGene00008074,nkb-2,reproductive-system
WBGene00008075,C43F9.7,nervous-system
WBGene00008076,lgc-43,epithelial-system
WBGene00008078,vps-50,nervous-system
WBGene00008079,C44B9.2,reproductive-system
WBGene00008080,C44B9.3,reproductive-system
WBGene00008083,cyp-29A1,nervous-system
WBGene00008085,smcl-1,reproductive-system
WBGene00008089,C44C10.9,nervous-system
WBGene00008090,C44C10.10,nervous-system
WBGene00008095,C44H4.6,nervous-system
WBGene00008096,C44H4.8,nervous-system
WBGene00008097,ugt-15,intestine
WBGene00008102,C44H9.7,intestine
WBGene00008106,C45B11.5,reproductive-system
WBGene00008112,C46C2.4,nervous-system
WBGene00008129,C47A10.12,nervous-system
WBGene00008133,efsc-1,reproductive-system
WBGene00008134,C47B2.9,reproductive-system
WBGene00008136,C47D12.2,reproductive-system
WBGene00008142,C47E8.3,nervous-system
WBGene00008144,gasr-8,nervous-system
WBGene00008146,C47E8.9,nervous-system
WBGene00008151,rrp-1,reproductive-system
WBGene00008154,C47E12.11,reproductive-system
WBGene00008158,nhr-165,epithelial-system
WBGene00008160,glct-4,nervous-system
WBGene00008162,C47F8.6,reproductive-system
WBGene00008163,C47F8.7,intestine
WBGene00008164,C47G2.3,reproductive-system
WBGene00008171,C48B4.8,reproductive-system
WBGene00008173,C48B4.10,reproductive-system
WBGene00008174,C48B4.11,reproductive-system
WBGene00008175,C48B4.12,reproductive-system
WBGene00008185,best-10,reproductive-system
WBGene00008190,clec-114,nervous-system
WBGene00008194,C49C3.4,intestine
WBGene00008200,C49C3.10,intestine
WBGene00008201,C49C3.11,reproductive-system
WBGene00008208,nhr-167,nervous-system
WBGene00008209,C49F5.5,coelomic-system
WBGene00008213,C49F8.1,nervous-system
WBGene00008220,C50B6.7,intestine
WBGene00008230,pfk-1.2,reproductive-system
WBGene00008231,tag-329,reproductive-system
WBGene00008233,C50F4.8,epithelial-system
WBGene00008235,C50F4.10,reproductive-system
WBGene00008236,C50F4.12,reproductive-system
WBGene00008241,C50H2.5,nervous-system
WBGene00008243,C50H2.7,reproductive-system
WBGene00008244,fipr-11,reproductive-system
WBGene00008245,fipr-10,reproductive-system
WBGene00008248,srsx-27,nervous-system
WBGene00008249,srsx-28,nervous-system
WBGene00008250,srsx-29,nervous-system
WBGene00008254,C51E3.9,nervous-system
WBGene00008257,C52A11.3,nervous-system
WBGene00008261,C52G5.3,nervous-system
WBGene00008269,C53A5.11,nervous-system
WBGene00008273,C53B4.3,intestine
WBGene00008278,npr-10,nervous-system
WBGene00008280,acc-2,nervous-system
WBGene00008281,C53D6.4,reproductive-system
WBGene00008282,C53D6.5,reproductive-system
WBGene00008285,C53D6.8,reproductive-system
WBGene00008287,C54C6.5,nervous-system
WBGene00008290,bgnt-1.8,epithelial-system
WBGene00008292,C54C8.4,epithelial-system
WBGene00008297,cdr-3,nervous-system
WBGene00008298,C54D10.3,nervous-system
WBGene00008299,C54D10.4,reproductive-system
WBGene00008300,C54D10.5,nervous-system
WBGene00008306,C54E10.1,nervous-system
WBGene00008307,ncs-5,nervous-system
WBGene00008308,C54E10.3,nervous-system
WBGene00008310,C54E10.6,nervous-system
WBGene00008312,C54G4.2,reproductive-system
WBGene00008313,C54G4.3,reproductive-system
WBGene00008314,C54G4.4,nervous-system
WBGene00008315,C54G4.5,nervous-system
WBGene00008316,dod-18,reproductive-system
WBGene00008321,C55A1.1,nervous-system
WBGene00008334,sdz-8,nervous-system
WBGene00008340,C55A6.11,intestine
WBGene00008342,frpr-5,nervous-system
WBGene00008344,C56A3.5,reproductive-system
WBGene00008348,C56G7.3,nervous-system
WBGene00008353,D1025.1,nervous-system
WBGene00008358,nspc-18,excretory-system
WBGene00008376,D1054.9,nervous-system
WBGene00008385,lotr-1,reproductive-system
WBGene00008387,zhp-2,reproductive-system
WBGene00008388,D1086.1,nervous-system
WBGene00008392,D1086.5,nervous-system
WBGene00008399,D2005.4,reproductive-system
WBGene00008401,D2005.6,nervous-system
WBGene00008403,csa-1,reproductive-system
WBGene00008411,mans-1,reproductive-system
WBGene00008413,D2030.3,reproductive-system
WBGene00008423,D2045.5,reproductive-system
WBGene00008427,atg-10,reproductive-system
WBGene00008438,DH11.5,nervous-system
WBGene00008450,E01G6.2,nervous-system
WBGene00008451,cest-3,intestine
WBGene00008454,E02A10.4,nervous-system
WBGene00008460,E02H4.2,nervous-system
WBGene00008464,E02H4.6,reproductive-system
WBGene00008465,E03A3.5,nervous-system
WBGene00008470,E03H4.2,nervous-system
WBGene00008475,oac-13,nervous-system
WBGene00008479,glct-2,nervous-system
WBGene00008490,F01D4.8,nervous-system
WBGene00008493,F01D5.2,intestine
WBGene00008494,F01D5.3,intestine
WBGene00008497,F01D5.7,reproductive-system
WBGene00008508,F01G10.5,reproductive-system
WBGene00008510,lipl-7,nervous-system
WBGene00008514,mrpl-44,reproductive-system
WBGene00008516,F02C12.2,nervous-system
WBGene00008518,irld-2,nervous-system
WBGene00008520,F02D8.1,nervous-system
WBGene00008522,nlp-59,nervous-system
WBGene00008527,set-8,nervous-system
WBGene00008534,F02H6.1,reproductive-system
WBGene00008539,F02H6.6,nervous-system
WBGene00008542,scav-6,intestine
WBGene00008545,F07A11.1,nervous-system
WBGene00008548,F07A11.5,intestine
WBGene00008550,F07B10.4,nervous-system
WBGene00008552,srsx-31,nervous-system
WBGene00008559,F07H5.8,nervous-system
WBGene00008560,pho-13,intestine
WBGene00008561,F07H5.10,reproductive-system
WBGene00008567,acox-1.4,intestine
WBGene00008568,F08A8.5,intestine
WBGene00008569,fbxa-101,reproductive-system
WBGene00008579,F08G2.8,nervous-system
WBGene00008580,dsb-1,reproductive-system
WBGene00008582,F08G5.3,nervous-system
WBGene00008583,ugt-65,intestine
WBGene00008593,clec-227,intestine
WBGene00008595,clec-56,intestine
WBGene00008596,clec-54,intestine
WBGene00008597,clec-55,intestine
WBGene00008604,F09B9.5,nervous-system
WBGene00008609,F09B12.5,nervous-system
WBGene00008613,fbxb-69,nervous-system
WBGene00008617,F09C6.3,nervous-system
WBGene00008622,F09C8.2,nervous-system
WBGene00008625,scl-14,intestine
WBGene00008627,hpx-2,epithelial-system
WBGene00008628,ttr-21,intestine
WBGene00008630,nhr-175,nervous-system
WBGene00008633,fbxa-18,intestine
WBGene00008637,F10A3.12,nervous-system
WBGene00008640,F10B5.3,nervous-system
WBGene00008646,F10C2.5,reproductive-system
WBGene00008657,clec-154,reproductive-system
WBGene00008658,clec-152,reproductive-system
WBGene00008659,clec-151,reproductive-system
WBGene00008666,F10G8.8,nervous-system
WBGene00008667,F10G8.9,reproductive-system
WBGene00008673,F11A5.5,epithelial-system
WBGene00008678,stdh-2,intestine
WBGene00008680,F11A5.15,nervous-system
WBGene00008682,lex-1,reproductive-system
WBGene00008693,F11C1.4,nervous-system
WBGene00008696,clec-255,nervous-system
WBGene00008699,F11D11.4,reproductive-system
WBGene00008703,clec-251,nervous-system
WBGene00008706,gba-3,nervous-system
WBGene00008708,F11E6.4,nervous-system
WBGene00008709,F11E6.6,intestine
WBGene00008711,F11E6.8,nervous-system
WBGene00008716,F11F1.4,nervous-system
WBGene00008723,F12F6.8,reproductive-system
WBGene00008724,F13A7.1,reproductive-system
WBGene00008725,F13A7.7,reproductive-system
WBGene00008737,gnrr-7,coelomic-system
WBGene00008740,F13D12.5,reproductive-system
WBGene00008745,F13E6.1,nervous-system
WBGene00008746,F13E6.2,nervous-system
WBGene00008751,fipr-14,coelomic-system
WBGene00008753,F13E9.4,reproductive-system
WBGene00008754,F13E9.5,reproductive-system
WBGene00008758,F13E9.9,reproductive-system
WBGene00008759,F13E9.10,reproductive-system
WBGene00008763,F13G3.3,nervous-system
WBGene00008770,F13G3.12,nervous-system
WBGene00008774,F13H10.3,intestine
WBGene00008776,F13H10.5,nervous-system
WBGene00008777,F13H10.6,nervous-system
WBGene00008784,F14B6.3,epithelial-system
WBGene00008787,F14B6.6,intestine
WBGene00008793,F14D7.6,intestine
WBGene00008795,F14D7.8,nervous-system
WBGene00008796,F14D7.9,epithelial-system
WBGene00008798,F14D7.11,nervous-system
WBGene00008799,F14E5.1,intestine
WBGene00008803,lips-10,epithelial-system
WBGene00008804,acp-4,nervous-system
WBGene00008807,F14F3.4,nervous-system
WBGene00008810,cyp-13A12,epithelial-system
WBGene00008812,F14F7.5,nervous-system
WBGene00008815,srz-103,nervous-system
WBGene00008821,best-12,reproductive-system
WBGene00008831,F14H3.12,intestine
WBGene00008838,F15A4.2,reproductive-system
WBGene00008839,sre-37,nervous-system
WBGene00008840,F15A4.5,nervous-system
WBGene00008841,phat-8,nervous-system
WBGene00008849,try-10,intestine
WBGene00008853,clec-101,nervous-system
WBGene00008854,F15D3.4,reproductive-system
WBGene00008855,F15D3.5,intestine
WBGene00008857,timm-23,reproductive-system
WBGene00008858,pals-1,nervous-system
WBGene00008868,F15G9.5,nervous-system
WBGene00008873,F15H10.6,nervous-system
WBGene00008874,F15H10.7,nervous-system
WBGene00008879,F16B12.1,coelomic-system
WBGene00008884,nhr-281,nervous-system
WBGene00008885,F16C3.1,nervous-system
WBGene00008894,F16H6.4,nervous-system
WBGene00008897,F16H6.7,nervous-system
WBGene00008899,F16H6.9,intestine
WBGene00008901,nhr-27,nervous-system
WBGene00008902,phf-32,nervous-system
WBGene00008908,F17B5.4,epithelial-system
WBGene00008910,F17C8.3,reproductive-system
WBGene00008911,F17C8.6,nervous-system
WBGene00008912,F17C8.7,reproductive-system
WBGene00008914,F17C11.2,nervous-system
WBGene00008925,F17H10.1,intestine
WBGene00008929,F18A11.2,epithelial-system
WBGene00008933,F18A11.6,reproductive-system
WBGene00008937,srt-43,nervous-system
WBGene00008941,srz-33,nervous-system
WBGene00008946,F19B2.7,coelomic-system
WBGene00008949,F19B6.3,reproductive-system
WBGene00008950,wht-5,reproductive-system
WBGene00008954,F19C6.5,intestine
WBGene00008959,F19H6.4,reproductive-system
WBGene00008961,F19H6.6,nervous-system
WBGene00008963,F19H8.2,nervous-system
WBGene00008969,cdc-50.B,intestine
WBGene00008970,F20C5.5,nervous-system
WBGene00008972,F20C5.7,nervous-system
WBGene00008978,cutl-3,nervous-system
WBGene00008981,srz-48,nervous-system
WBGene00008983,F20E11.5,nervous-system
WBGene00008988,F20G2.5,intestine
WBGene00008989,F20G2.6,nervous-system
WBGene00008991,F20G4.2,reproductive-system
WBGene00008994,F21A3.4,reproductive-system
WBGene00009000,arrd-28,nervous-system
WBGene00009001,tyr-3,nervous-system
WBGene00009005,F21C3.6,reproductive-system
WBGene00009008,F21D5.3,intestine
WBGene00009009,F21D5.4,intestine
WBGene00009012,F21D5.7,reproductive-system
WBGene00009015,F21D9.1,reproductive-system
WBGene00009017,F21D9.3,coelomic-system
WBGene00009018,F21D9.4,nervous-system
WBGene00009020,F21D9.6,nervous-system
WBGene00009021,F21D9.8,nervous-system
WBGene00009026,F21G4.5,nervous-system
WBGene00009027,F21G4.6,nervous-system
WBGene00009036,F22B3.5,nervous-system
WBGene00009039,F22B3.8,reproductive-system
WBGene00009042,F22B5.4,nervous-system
WBGene00009055,F22D6.14,reproductive-system
WBGene00009058,F22E12.1,nervous-system
WBGene00009060,F22E12.3,intestine
WBGene00009073,delm-1,nervous-system
WBGene00009076,F23B2.8,nervous-system
WBGene00009085,F23D12.1,nervous-system
WBGene00009086,F23D12.2,reproductive-system
WBGene00009091,F23D12.7,nervous-system
WBGene00009095,F23H12.7,nervous-system
WBGene00009096,fipr-1,nervous-system
WBGene00009097,fipr-2,nervous-system
WBGene00009107,txt-10,nervous-system
WBGene00009108,F25D1.3,epithelial-system
WBGene00009109,degt-1,nervous-system
WBGene00009112,tag-353,reproductive-system
WBGene00009113,maph-1.2,reproductive-system
WBGene00009114,F25D7.5,nervous-system
WBGene00009121,F25H2.7,reproductive-system
WBGene00009134,lurp-2,nervous-system
WBGene00009136,lurp-3,nervous-system
WBGene00009143,F26A3.5,intestine
WBGene00009144,del-3,nervous-system
WBGene00009148,F26D2.3,nervous-system
WBGene00009151,F26D2.13,nervous-system
WBGene00009152,F26D2.14,nervous-system
WBGene00009155,lhfp-4,nervous-system
WBGene00009161,cox-7C,intestine
WBGene00009170,F26F2.5,nervous-system
WBGene00009184,F27C8.3,nervous-system
WBGene00009187,F27D4.1,intestine
WBGene00009194,F27E5.5,nervous-system
WBGene00009196,F28B1.2,reproductive-system
WBGene00009202,aptf-4,nervous-system
WBGene00009208,F28C6.9,nervous-system
WBGene00009209,F28C6.10,nervous-system
WBGene00009213,thn-1,intestine
WBGene00009214,thn-3,nervous-system
WBGene00009215,thn-2,intestine
WBGene00009217,spe-45,nervous-system
WBGene00009226,cyp-37B1,intestine
WBGene00009232,nkat-1,nervous-system
WBGene00009234,F28H6.6,nervous-system
WBGene00009235,F28H6.7,nervous-system
WBGene00009236,F28H7.2,coelomic-system
WBGene00009239,irld-6,reproductive-system
WBGene00009247,bath-45,reproductive-system
WBGene00009251,F29D10.2,nervous-system
WBGene00009255,ugt-34,nervous-system
WBGene00009268,F30A10.11,nervous-system
WBGene00009278,npr-33,nervous-system
WBGene00009283,F31B12.4,nervous-system
WBGene00009291,clec-264,nervous-system
WBGene00009297,sdz-16,epithelial-system
WBGene00009298,srz-58,nervous-system
WBGene00009301,F31F6.2,reproductive-system
WBGene00009307,F32A11.1,reproductive-system
WBGene00009308,F32A11.3,reproductive-system
WBGene00009311,mltn-1,epithelial-system
WBGene00009312,F32B4.1,nervous-system
WBGene00009313,F32B4.2,reproductive-system
WBGene00009321,F32B6.4,reproductive-system
WBGene00009325,F32D8.15,nervous-system
WBGene00009326,F32D8.1,nervous-system
WBGene00009333,zzz-1,nervous-system
WBGene00009335,F32D8.13,intestine
WBGene00009341,thoc-3,reproductive-system
WBGene00009344,F32H2.7,reproductive-system
WBGene00009352,F33A8.4,reproductive-system
WBGene00009354,ilkp-1,nervous-system
WBGene00009356,F33A8.10,nervous-system
WBGene00009357,F33C8.2,nervous-system
WBGene00009358,F33C8.4,nervous-system
WBGene00009360,F33E2.4,nervous-system
WBGene00009362,F33E2.6,nervous-system
WBGene00009377,F34D10.8,reproductive-system
WBGene00009378,F34H10.1,nervous-system
WBGene00009380,F34H10.3,nervous-system
WBGene00009382,F34H10.5,nervous-system
WBGene00009383,F35B12.3,nervous-system
WBGene00009385,sas-5,reproductive-system
WBGene00009386,tag-290,epithelial-system
WBGene00009387,glb-15,nervous-system
WBGene00009393,clec-62,intestine
WBGene00009397,clec-66,intestine
WBGene00009400,F35C5.12,nervous-system
WBGene00009412,F35E2.5,reproductive-system
WBGene00009413,oac-19,reproductive-system
WBGene00009422,F35E8.9,nervous-system
WBGene00009427,fbxa-181,reproductive-system
WBGene00009428,F35E12.4,nervous-system
WBGene00009437,F35G2.3,reproductive-system
WBGene00009449,F35H8.4,reproductive-system
WBGene00009458,F36A2.11,reproductive-system
WBGene00009459,F36A2.12,reproductive-system
WBGene00009465,F36D1.6,reproductive-system
WBGene00009467,F36D1.8,epithelial-system
WBGene00009468,F36D1.9,nervous-system
WBGene00009471,F36D3.5,reproductive-system
WBGene00009473,F36D3.8,reproductive-system
WBGene00009475,F36F2.1,intestine
WBGene00009476,F36F2.2,nervous-system
WBGene00009486,F36G9.7,nervous-system
WBGene00009487,clec-232,nervous-system
WBGene00009488,oac-20,intestine
WBGene00009489,F36G9.13,reproductive-system
WBGene00009490,fbxa-99,intestine
WBGene00009491,F36G9.15,nervous-system
WBGene00009493,hrg-4,intestine
WBGene00009494,hrg-5,intestine
WBGene00009496,F36H1.11,epithelial-system
WBGene00009501,F37A8.1,reproductive-system
WBGene00009503,F37A8.5,nervous-system
WBGene00009507,mus-101,reproductive-system
WBGene00009511,F37H8.2,nervous-system
WBGene00009515,clec-170,intestine
WBGene00009517,clec-167,intestine
WBGene00009525,F38A1.13,intestine
WBGene00009526,clec-169,intestine
WBGene00009529,F38B2.2,nervous-system
WBGene00009530,F38B2.3,coelomic-system
WBGene00009535,F38C2.1,nervous-system
WBGene00009541,cutl-17,nervous-system
WBGene00009546,fbxb-3,epithelial-system
WBGene00009547,F38H4.3,nervous-system
WBGene00009550,F38H4.6,nervous-system
WBGene00009552,piki-1,nervous-system
WBGene00009568,srbc-26,nervous-system
WBGene00009569,srz-66,nervous-system
WBGene00009571,F40D4.12,intestine
WBGene00009572,F40D4.13,nervous-system
WBGene00009573,F40E10.5,nervous-system
WBGene00009579,arrd-6,nervous-system
WBGene00009581,F40F9.3,reproductive-system
WBGene00009582,slcr-46.3,intestine
WBGene00009585,cal-7,nervous-system
WBGene00009586,F40F9.10,nervous-system
WBGene00009592,F40F12.3,reproductive-system
WBGene00009597,F40G12.2,nervous-system
WBGene00009605,F40G12.10,reproductive-system
WBGene00009608,nhr-265,nervous-system
WBGene00009609,oac-27,reproductive-system
WBGene00009620,fip-5,nervous-system
WBGene00009629,sprr-2,nervous-system
WBGene00009630,F42E8.1,nervous-system
WBGene00009633,F42E11.3,nervous-system
WBGene00009647,phlp-2,nervous-system
WBGene00009651,F43D2.2,reproductive-system
WBGene00009652,F43D2.3,reproductive-system
WBGene00009656,F43G6.3,reproductive-system
WBGene00009670,F43G9.8,reproductive-system
WBGene00009680,msd-1,reproductive-system
WBGene00009683,F44D12.6,reproductive-system
WBGene00009684,msd-3,reproductive-system
WBGene00009685,F44D12.8,reproductive-system
WBGene00009686,ent-7,reproductive-system
WBGene00009690,F44E5.3,nervous-system
WBGene00009695,clp-8,reproductive-system
WBGene00009701,egg-3,reproductive-system
WBGene00009704,F44F4.9,reproductive-system
WBGene00009705,F44F4.10,reproductive-system
WBGene00009709,fbxa-144,nervous-system
WBGene00009714,F44G4.5,reproductive-system
WBGene00009715,F44G4.6,nervous-system
WBGene00009716,F44G4.7,nervous-system
WBGene00009717,dep-1,nervous-system
WBGene00009721,F45D3.1,reproductive-system
WBGene00009727,lips-1,nervous-system
WBGene00009729,F45E10.2,nervous-system
WBGene00009730,myo-6,nervous-system
WBGene00009742,F45H10.5,nervous-system
WBGene00009746,F46A8.3,nervous-system
WBGene00009749,F46A8.6,reproductive-system
WBGene00009750,F46A8.7,nervous-system
WBGene00009751,F46A8.8,reproductive-system
WBGene00009756,F46B3.1,nervous-system
WBGene00009757,F46B3.2,nervous-system
WBGene00009759,ttr-12,reproductive-system
WBGene00009760,F46B3.7,nervous-system
WBGene00009766,F46B3.15,reproductive-system
WBGene00009768,F46B6.2,nervous-system
WBGene00009775,F46B6.10,reproductive-system
WBGene00009776,F46B6.12,reproductive-system
WBGene00009777,F46C3.2,intestine
WBGene00009779,F46C5.2,nervous-system
WBGene00009789,F46F2.5,nervous-system
WBGene00009790,lgc-44,nervous-system
WBGene00009797,F46G10.2,nervous-system
WBGene00009798,F46G10.4,intestine
WBGene00009799,lgc-47,nervous-system
WBGene00009806,F47B8.5,epithelial-system
WBGene00009808,srm-4,nervous-system
WBGene00009814,F47B10.3,nervous-system
WBGene00009815,F47B10.4,reproductive-system
WBGene00009819,F47B10.8,nervous-system
WBGene00009820,F47B10.9,reproductive-system
WBGene00009822,clec-113,nervous-system
WBGene00009825,F47G4.4,nervous-system
WBGene00009826,F47G4.5,nervous-system
WBGene00009830,cutl-18,intestine
WBGene00009831,F47G9.4,intestine
WBGene00009835,F47H4.2,intestine
WBGene00009837,fbxa-186,intestine
WBGene00009838,fbxa-187,nervous-system
WBGene00009839,fbxa-188,nervous-system
WBGene00009844,cwp-5,nervous-system
WBGene00009848,F48F5.6,nervous-system
WBGene00009852,arrd-24,intestine
WBGene00009854,clec-31,intestine
WBGene00009857,clec-28,intestine
WBGene00009859,clec-33,intestine
WBGene00009860,clec-32,intestine
WBGene00009862,fbxb-67,reproductive-system
WBGene00009863,F49B2.3,nervous-system
WBGene00009867,F49C5.4,nervous-system
WBGene00009869,F49C5.7,nervous-system
WBGene00009872,F49C12.2,nervous-system
WBGene00009873,F49C12.3,nervous-system
WBGene00009875,F49C12.5,nervous-system
WBGene00009883,nspg-11,intestine
WBGene00009887,glb-17,nervous-system
WBGene00009893,F49E11.7,reproductive-system
WBGene00009894,F49E11.8,nervous-system
WBGene00009914,F49H6.13,intestine
WBGene00009916,F52A8.3,nervous-system
WBGene00009931,F52D10.4,nervous-system
WBGene00009938,F52F12.5,epithelial-system
WBGene00009949,F53A2.1,nervous-system
WBGene00009950,sdz-20,nervous-system
WBGene00009951,F53A2.3,nervous-system
WBGene00009952,acaa-2,nervous-system
WBGene00009956,F53B2.5,reproductive-system
WBGene00009958,madd-4,nervous-system
WBGene00009959,F53B6.4,reproductive-system
WBGene00009965,frpr-9,nervous-system
WBGene00009967,F53B7.4,nervous-system
WBGene00009979,cutl-1,intestine
WBGene00009986,F53F4.2,nervous-system
WBGene00009991,F53F4.8,intestine
WBGene00009993,F53F4.11,reproductive-system
WBGene00009997,F53F4.15,epithelial-system
WBGene00009998,klf-2,intestine
WBGene00009999,srsx-35,nervous-system
WBGene00010003,F53F8.6,nervous-system
WBGene00010009,F53H4.4,nervous-system
WBGene00010010,gmeb-2,nervous-system
WBGene00010011,F53H4.6,epithelial-system
WBGene00010013,F54B3.1,reproductive-system
WBGene00010016,F54B8.1,epithelial-system
WBGene00010020,srbc-48,nervous-system
WBGene00010021,srbc-49,nervous-system
WBGene00010022,srbc-50,intestine
WBGene00010027,F54B11.4,nervous-system
WBGene00010028,F54B11.5,nervous-system
WBGene00010031,F54B11.8,reproductive-system
WBGene00010032,F54B11.9,nervous-system
WBGene00010034,F54B11.11,intestine
WBGene00010035,F54C8.1,reproductive-system
WBGene00010042,bcs-1,reproductive-system
WBGene00010049,F54D5.3,intestine
WBGene00010050,F54D5.4,intestine
WBGene00010055,F54D5.12,intestine
WBGene00010057,F54D5.15,nervous-system
WBGene00010059,F54E4.3,nervous-system
WBGene00010062,lipl-1,intestine
WBGene00010068,F54F7.8,coelomic-system
WBGene00010069,F54F11.1,nervous-system
WBGene00010073,F54F12.2,nervous-system
WBGene00010074,irld-34,nervous-system
WBGene00010087,F55B11.5,reproductive-system
WBGene00010094,tsfm-1,reproductive-system
WBGene00010095,F55C5.6,nervous-system
WBGene00010110,F55D12.1,nervous-system
WBGene00010118,F55F3.4,nervous-system
WBGene00010119,F55G7.1,nervous-system
WBGene00010120,dot-1.4,nervous-system
WBGene00010121,F55G7.3,nervous-system
WBGene00010123,F55G11.2,intestine
WBGene00010124,F55G11.4,intestine
WBGene00010128,F55G11.8,intestine
WBGene00010131,F55H2.5,nervous-system
WBGene00010134,F55H12.3,intestine
WBGene00010142,F56A8.8,nervous-system
WBGene00010143,F56A12.2,nervous-system
WBGene00010147,F56D5.2,reproductive-system
WBGene00010148,F56D5.3,nervous-system
WBGene00010153,srxa-2,nervous-system
WBGene00010155,F56F3.4,reproductive-system
WBGene00010157,oac-34,nervous-system
WBGene00010161,F56G4.6,reproductive-system
WBGene00010163,F56H6.2,nervous-system
WBGene00010166,gmd-2,nervous-system
WBGene00010167,bgnt-1.6,reproductive-system
WBGene00010171,oac-35,reproductive-system
WBGene00010172,oac-36,reproductive-system
WBGene00010179,F57A8.4,nervous-system
WBGene00010181,F57A8.6,reproductive-system
WBGene00010184,F57A10.2,reproductive-system
WBGene00010186,nhr-283,nervous-system
WBGene00010191,dmsr-1,nervous-system
WBGene00010192,F57B7.2,nervous-system
WBGene00010195,pot-2,reproductive-system
WBGene00010200,F57C7.4,nervous-system
WBGene00010205,F57F5.3,nervous-system
WBGene00010209,fbxa-191,reproductive-system
WBGene00010214,slc-9B.2,nervous-system
WBGene00010215,nhr-193,intestine
WBGene00010219,F57G9.3,epithelial-system
WBGene00010222,F57G12.2,nervous-system
WBGene00010228,clec-161,reproductive-system
WBGene00010236,F58B4.3,nervous-system
WBGene00010238,F58B4.5,intestine
WBGene00010240,gadr-1,nervous-system
WBGene00010244,F58D5.5,nervous-system
WBGene00010245,F58D5.6,reproductive-system
WBGene00010246,F58D5.7,reproductive-system
WBGene00010247,F58D5.8,reproductive-system
WBGene00010256,hrg-3,intestine
WBGene00010262,droe-4,nervous-system
WBGene00010266,dct-18,intestine
WBGene00010269,F58G1.7,nervous-system
WBGene00010271,F58G1.9,reproductive-system
WBGene00010275,acc-1,nervous-system
WBGene00010277,F58G6.7,intestine
WBGene00010286,F58H1.3,intestine
WBGene00010290,F58H1.7,nervous-system
WBGene00010296,dgat-2,intestine
WBGene00010297,F59A1.11,nervous-system
WBGene00010300,F59A1.15,reproductive-system
WBGene00010310,F59B2.8,nervous-system
WBGene00010313,F59B2.11,nervous-system
WBGene00010316,F59B8.1,nervous-system
WBGene00010318,F59B10.2,nervous-system
WBGene00010324,F59C6.3,reproductive-system
WBGene00010327,F59C6.8,nervous-system
WBGene00010335,F59F3.6,nervous-system
WBGene00010336,acox-1.6,intestine
WBGene00010340,slcf-1,intestine
WBGene00010342,F59F5.3,intestine
WBGene00010343,F59F5.4,intestine
WBGene00010344,F59F5.5,nervous-system
WBGene00010349,dyf-18,nervous-system
WBGene00010352,fbxb-76,nervous-system
WBGene00010355,clec-229,nervous-system
WBGene00010358,H03G16.1,nervous-system
WBGene00010360,fbxa-96,nervous-system
